,name,address,sex,date_of_birth,race,marital-status,occupation,pregnant,relationship,education,income,native-country,workclass,education-num,capital-gain,fnlwgt,hours-per-week,capital-loss,mean_glucose,std_glucose,kurtosis_glucose,skewness_glucose,mean_oxygen,std_oxygen,kurtosis_oxygen,skewness_oxygen,age,class
43,Rickey Bell,"PSC 1057, Box 0591
APO AE 69779", Male,18/7/1981, White, Married-civ-spouse, farming-fishing,f, Husband, HS-grad,>50K, United-States, Self-emp-not-inc,-0.44728577589804736,3.2561143741798024,-0.000110959953354841,1.6089756412038498,-0.22716575022407376,117.90625,47.49661789,0.145024965,-0.0007861239999999999,1.359531773,11.60258164,13.28619928,228.1446659,38.0,0.0
44,James Dyer,"33646 Adams ford
North Christina, tN 05065", Male,2/5/1975, White, Married-civ-spouse, Exec-managerial,f, Husband, Prof-school,>50K, United-States, Private,2.0345253362746654,-0.307121916819555,-0.060196740915946935,0.7745746796839207,-0.22716575022407376,146.484375,50.37577301,-0.496183948,0.013135363,73.69732441,69.58797974490797,0.66295114,-1.248638834,44.0,0.0
45,Charles Carver,"4787 Nichole Extensions
Jacobborough, AZ 29271", Male,13/7/1998, White, Divorced, Craft-repair,f,Not_in_family, HS-grad,<=50K, United-States, Private,-0.44728577589804736,-0.307121916819555,0.21568094171935034,-0.049760330148127474,-0.22716575022407376,125.65625,57.05745973,-0.144638989,-0.5958970029999999,4.568561873,24.92868386,6.964876061,53.00506896,21.0,0.0
46,William Nolan,"71999 Reynolds track
Port thomas, NM 41767", Male,18/4/1968, White, Divorced, Exec-managerial,f,Not_in_family, Bachelors,<=50K, United-States, Private,1.1667590804424672,-0.307121916819555,0.7340759570086001,-0.049760330148127474,-0.22716575022407376,111.953125,45.4128388,0.305970532,0.527937986,2.107859532,18.67628399,10.22043488,112.0883672,51.0,0.0
47,Steven Skinner,"700 Kathleen Skyway
Davisborough, tX 47147", Male,29/4/1982, White, Never-married, Adm-clerical,f,Not_in_family, Assoc-acdm,<=50K, United-States, federal-gov,0.7472751289507462,-0.307121916819555,-0.30880919763263137,-0.049760330148127474,-0.22716575022407376,90.4921875,33.64172356,0.55005666,3.56381368,1.72909699,14.45782204,10.36682099,126.8029858,37.0,0.0
48,David thornton,"9694 Anderson tunnel Suite 144
North terrishire, AK 67579", Male,29/12/1971, Black, Married-civ-spouse, tech-support,f, Husband, Some-college,>50K, Jamaica, Private,-0.06036390113009848,-0.307121916819555,1.8098417811145664,-0.049760330148127474,-0.22716575022407376,131.5390625,53.65775549,0.148300116,-0.487113554,4.431438127,25.56010324,6.124397015,38.48226294,47.0,0.0
49,Matthew Mccormick,"781 Amy Hills
Josephview, NJ 50506", Male,27/10/1970, White, Married-civ-spouse, Sales,f, Husband, Bachelors,>50K, United-States, Private,1.1667590804424672,-0.307121916819555,0.32111408724585444,-0.049760330148127474,-0.22716575022407376,121.734375,50.76007972,-0.045391064,-0.114901285,7.165551839,31.10255478,4.897418603,24.27844751,49.0,0.0
50,John Reeves,"021 Deborah Key Apt. 107
West thomasstad, NC 28850", female,19/9/1982, White, Never-married, Adm-clerical,f,Own_child, HS-grad,<=50K, United-States, Private,-0.44728577589804736,-0.307121916819555,-0.3822239939544071,-0.049760330148127474,-0.22716575022407376,84.359375,43.96336088,0.783344189,1.05316759,50.38461538,75.55789333625175,1.140126857,-0.446797959,37.0,0.0
51,Hector Sturges,"0089 Calderon Hills
East Crystalfurt, AZ 17874", female,9/7/1971, White, Married-civ-spouse, Prof-specialty,f, Wife, Doctorate,>50K, United-States, Self-emp-not-inc,2.48196212061727,-0.307121916819555,0.10330986112415123,-0.4574700075170363,-0.22716575022407376,48.2421875,36.49202526,2.935560303,10.88874578,41.50418060000001,62.89781076,1.472488674,1.305269046,48.0,1.0
52,frederick Gomez,"218 taylor Canyon Apt. 786
Hughestown, MI 70267", female,17/9/1967, Black, Never-married, Adm-clerical,f,Not_in_family, Assoc-acdm,<=50K, United-States, Private,0.7472751289507462,-0.307121916819555,0.9649274413724883,0.36102666530117616,-0.22716575022407376,76.515625,37.64492503,0.857257553,2.7732050480000003,1.805183946,17.41264888,10.93680598,127.8741213,52.0,0.0
53,Bill Pena,"72234 Johnson fork
Lake Susan, AR 57445", Male,20/7/1967, White, Never-married, Sales,f,Not_in_family, HS-grad,<=50K, United-States, Private,-0.44728577589804736,-0.307121916819555,0.2116374206751418,0.7745746796839207,-0.22716575022407376,123.4375,52.22857665,-0.177095872,-0.443829346,10.77341137,40.10837737,3.922105487,14.91596239,52.0,0.0
54,timothy Lowery,"6467 Moore Ridge
Montoyaland, KY 16716", Male,13/5/1960, White, Married-civ-spouse, Sales,f, Husband, HS-grad,<=50K, United-States, Private,-0.44728577589804736,-0.307121916819555,0.4820004185097781,0.7745746796839207,-0.22716575022407376,134.625,38.76028089,0.012806896000000002,0.77002819,34.78929766,68.98783824,1.627871855,0.975553603,59.0,0.0
55,Michael Baker,"3013 Bryan Highway Suite 090
North Robert, WI 51980", Male,23/4/1975, White, Married-spouse-absent, transport-moving,f,Own_child, HS-grad,<=50K, Peru, Private,-0.44728577589804736,-0.307121916819555,1.3517068633868223,-0.049760330148127474,-0.22716575022407376,108.671875,43.66064256,0.16097522,0.139801756,3.598662207,24.62218454,7.4912044039999985,57.98247071,44.0,0.0
56,William Anderson,"5786 Morgan Summit Suite 870
South Andrew, OR 95206", Male,16/9/1991, White, Married-civ-spouse, Exec-managerial,f, Husband, HS-grad,<=50K, United-States, Private,-0.44728577589804736,-0.307121916819555,1.369791803645494,0.7745746796839207,-0.22716575022407376,114.28125,45.34932771,0.257984474,-0.095782141,2.267558528,17.995549,9.333754407999999,93.2219824,28.0,0.0
57,Bennie Jones,"9406 Desiree Rest
South Laurafort, ME 72779", female,29/12/1964, White, Never-married, Sales,f,Not_in_family, HS-grad,<=50K, United-States, Private,-0.44728577589804736,-0.307121916819555,-0.375994749567006,-0.4574700075170363,-0.22716575022407376,115.8984375,55.62933127,0.382114814,-0.299731538,1.622073579,11.4217996,12.81936479,230.372885,54.0,0.0
58,Norman Mankowski,"42583 Michael Stream
East Jessicaberg, VA 52650", Male,18/2/1964, White, Divorced, Exec-managerial,f, Not_in_family, Some-college,<=50K, United-States, Private,-0.06036390113009848,-0.307121916819555,-0.12617635148878376,-0.21323372346394612,-0.22716575022407376,122.546875,51.4401745,0.301560145,0.098437577,2.22909699,18.34013517,9.886598292,107.70752240000002,55.0,0.0
59,Desmond Standard,"31420 tricia Drive Apt. 910
Josephhaven, PA 86463", Male,30/3/1968, White, Married-civ-spouse, Exec-managerial,f, Husband, Some-college,>50K, United-States, Self-emp-inc,-0.06036390113009848,-0.307121916819555,1.2985000982770656,-0.049760330148127474,-0.22716575022407376,132.484375,43.23030339,0.043147765,0.513479855,4.278428094,21.47749626,6.48271807,49.70654607,51.0,0.0
60,Gordon Yarbrough,"6150 thomas Junction
Phyllisbury, IL 51403", female,5/1/1981, Black, Never-married, Adm-clerical,f, Unmarried, Some-college,<=50K, United-States, federal-gov,-0.06036390113009848,-0.307121916819555,1.8619291983638386,-0.049760330148127474,-0.22716575022407376,120.203125,46.33056486,0.180942755,0.136426627,6.331939799,29.68152049,5.171432525,27.92035234,38.0,0.0
61,Kevin Conklin,"Unit 2803 Box 2151
DPO AE 89583", Male,7/7/1963, Black, Married-civ-spouse, Exec-managerial,f, Husband, Masters,>50K, United-States, Private,1.5959913061532025,-0.307121916819555,-0.19179672774424963,-0.049760330148127474,-0.22716575022407376,69.234375,42.41912975,2.010625143,5.760894094,12.01839465,44.85330601,3.963575589,14.94381867,56.0,1.0
62,Roy Kellar,"086 Angela Lock
West Stevenberg, NE 74070", female,4/5/1971, Black, Married-civ-spouse, transport-moving,f, Wife, HS-grad,<=50K, United-States, Private,-0.44728577589804736,-0.307121916819555,1.1837932855509385,-0.049760330148127474,-0.22716575022407376,128.921875,51.94447296,-0.061933493,-0.402682838,2.661371237,18.63986843,9.504496728,100.1467373,48.0,0.0
63,Patrick Luneau,"04400 Anthony Groves Apt. 118
North Andrewton, NV 25978", Male,21/10/1960, Amer-Indian-Eskimo, Never-married, Other-service,f, Own_child, Some-college,<=50K, United-States, State-gov,-0.06036390113009848,-0.307121916819555,-2.349150187145901,3.6440846894223418,-0.22716575022407376,112.4375,44.94645252,-0.025022137000000003,0.718975681,2.663879599,20.62033123,8.679748226000001,79.76260864,59.0,0.0
64,Joseph Hickey,"59947 fischer Canyon Apt. 523
North Sharon, GA 01215", Male,23/1/1977, White, Never-married, Adm-clerical,f,Not_in_family, Some-college,<=50K, United-States, Private,-0.06036390113009848,-0.307121916819555,1.2291568842955432,-0.049760330148127474,-0.22716575022407376,128.9375,53.09201182,0.148013471,-0.305654401,2.194816054,13.09476675,9.859532974,138.6896311,42.0,0.0
65,John Welton,"24507 John Road Suite 087
Kaylaland, AZ 93179", Male,13/7/1963, Black, Married-civ-spouse, Other-service,f, Husband, HS-grad,<=50K, United-States, Private,-0.44728577589804736,-0.307121916819555,0.38869252271043236,-0.049760330148127474,-0.22716575022407376,107.8046875,55.95772101,0.261271535,-0.303771852,2.415551839,19.15297664,9.005631912,86.1762724,56.0,0.0
66,Robert Curry,"669 Smith Courts
Port Nathan, Mt 17834", Male,16/4/1961, White, Married-civ-spouse, Craft-repair,f, Husband, HS-grad,<=50K, United-States, Private,-0.44728577589804736,-0.307121916819555,-0.5905220834543098,-0.8617005319262813,-0.22716575022407376,117.8046875,53.19555001,0.42609076,-0.289259558,3.614548495,22.47022011,8.568620951,79.18133127,58.0,0.0
67,Leon Ack,"12348 ford Bypass
Port Zacharyville, RI 36085", female,26/5/1990, White, Divorced, Craft-repair,f, Unmarried, Some-college,<=50K, United-States, Private,-0.06036390113009848,-0.307121916819555,-0.8895816731765174,-0.049760330148127474,-0.22716575022407376,110.7109375,39.07567825,0.224973449,1.068217959,1.424749164,14.20290809,12.2749244,166.9698124,29.0,0.0
68,Lonnie Butler,"7929 Kristy Dam Apt. 265
New Samuel, MS 93951", Male,31/12/1968, White, Married-civ-spouse, Craft-repair,f, Husband, HS-grad,<=50K, United-States, Self-emp-inc,-0.44728577589804736,-0.307121916819555,-1.4087878379797305,-0.049760330148127474,4.402072068205065,56.2890625,34.87481011,2.868798457,12.75441877,37.52341137,65.14320695,1.701663358,1.916279077,50.0,1.0
69,francis Vance,"032 Ortiz Heights
West Connie, WV 78338", Male,16/10/1970, White, Married-civ-spouse, transport-moving,f, Husband, Some-college,<=50K, United-States, Private,-0.06036390113009848,-0.307121916819555,0.49374448769917684,-0.049760330148127474,-0.22716575022407376,132.75,41.85951206,-0.253640474,0.64769231,1.045150502,11.54044661,14.03408563,240.1349596,49.0,0.0
